date,elec1,elec2,elec3,elec4,elec5
2014-04-08,175.30000000000004,526.48,410.691,634.5000000000001,0.0
2014-04-09,156.75,501.59999999999997,410.2819999999998,631.12,0.0
2014-04-10,159.29999999999998,523.6600000000002,412.719,596.9000000000001,0.0
2014-04-11,150.44999999999996,495.3799999999999,390.91400000000004,608.8999999999999,0.0
2014-04-12,75.64999999999999,417.14000000000004,118.41199999999996,448.1799999999999,0.0
2014-04-13,77.70000000000003,355.2799999999998,124.52299999999998,312.96,0.0
2014-04-14,154.90000000000003,512.7399999999999,421.0690000000001,637.3800000000001,0.0
2014-04-15,166.6,433.93999999999994,441.6139999999999,664.48,0.0
2014-04-16,188.74999999999994,439.1000000000001,409.2510000000001,635.8800000000001,0.0
2014-04-17,189.00000000000003,412.78,436.783,563.1999999999999,0.0
2014-04-18,189.80000000000004,230.81999999999996,137.371,270.85999999999996,0.0
2014-04-19,110.00000000000001,246.22,131.72900000000004,261.24,0.0
2014-04-20,114.44999999999999,252.16000000000003,133.325,258.82,0.0
2014-04-21,194.6,250.91999999999996,137.895,256.8,0.0
2014-04-22,193.35,434.61999999999995,440.3660000000001,620.4200000000001,0.0
2014-04-23,172.94999999999996,420.98,460.50800000000004,616.44,0.0
2014-04-24,167.45000000000002,423.2199999999998,479.4909999999999,582.9999999999999,0.0
2014-04-25,165.54999999999993,426.9200000000001,409.23400000000004,604.2800000000002,0.0
2014-04-26,72.8,257.87999999999994,123.85800000000002,334.79999999999995,0.0
2014-04-27,71.9,264.94,126.75399999999999,266.24,0.0
2014-04-28,155.84999999999997,416.88,445.21199999999993,605.5399999999998,0.0
2014-04-29,144.10000000000005,417.82000000000005,394.5729999999999,606.16,0.0
2014-04-30,148.25000000000003,424.4399999999999,410.1820000000001,616.94,0.0
2014-05-01,152.89999999999995,413.3999999999999,436.1069999999999,559.3800000000001,0.0
2014-05-02,158.54999999999998,391.3,486.6049999999998,580.7199999999999,0.0
2014-05-03,82.90000000000002,294.84000000000003,123.46299999999998,469.84000000000003,0.0
2014-05-04,78.89999999999998,211.26000000000005,120.08699999999999,433.5799999999999,0.0
2014-05-05,153.9,210.78000000000011,136.601,329.65999999999997,0.0
2014-05-06,152.05,391.44,434.957,608.5600000000001,0.0
2014-05-07,135.25,402.2,420.0609999999999,670.9599999999998,0.0
2014-05-08,140.10000000000002,386.09999999999997,430.977,587.12,0.0
2014-05-09,149.85000000000002,409.0599999999999,393.38000000000005,603.3800000000001,0.0
2014-05-10,93.64999999999999,250.81999999999996,122.419,292.9999999999999,0.0
2014-05-11,106.45000000000006,257.28000000000003,130.30900000000003,265.37999999999994,0.0
2014-05-12,162.39999999999995,401.02000000000015,417.7389999999999,575.4599999999999,0.0
2014-05-13,141.54999999999998,414.49999999999983,417.71299999999985,614.4200000000001,0.0
2014-05-14,167.29999999999998,406.6599999999999,414.3270000000001,635.7400000000001,0.0
2014-05-15,175.75,399.82,415.148,600.8399999999998,0.0
2014-05-16,197.6,415.28,420.8759999999999,636.5200000000001,0.0
2014-05-17,121.50000000000001,318.3199999999999,122.54300000000002,335.84,0.0
2014-05-18,129.7,240.09999999999997,133.688,312.44,0.0
2014-05-19,239.79999999999995,407.8199999999999,436.947,630.3399999999999,0.0
2014-05-20,213.60000000000008,428.5799999999999,420.032,590.6000000000001,0.0
2014-05-21,193.79999999999998,417.8599999999999,430.93300000000005,612.4799999999998,0.0
2014-05-22,204.70000000000005,437.0800000000001,425.14899999999994,629.7599999999999,0.0
2014-05-23,187.34999999999997,398.59999999999997,413.3640000000001,605.36,0.0
2014-05-24,110.59999999999998,232.38000000000005,122.43799999999999,263.1,0.0
2014-05-25,113.64999999999998,236.56000000000003,120.808,267.56,0.0
2014-05-26,177.04999999999995,238.60000000000002,132.41299999999998,293.9199999999999,0.0
2014-05-27,165.1,406.0599999999999,427.773,571.3199999999999,0.0
2014-05-28,152.95,413.61999999999995,423.7419999999999,601.2,0.0
2014-05-29,163.45000000000002,414.52000000000004,446.38500000000005,563.4199999999998,0.0
2014-05-30,162.9,377.21999999999997,399.4519999999999,589.3000000000001,0.0
2014-05-31,83.24999999999999,231.84,122.64299999999999,255.40000000000003,0.0
2014-06-01,89.0,230.35999999999996,135.421,256.32000000000005,0.0
