date,elec1,elec2,elec3
2014-06-09,917.8999999999999,1179.8480000000002,0.0
2014-06-10,937.8000000000001,1115.4330000000002,0.0
2014-06-11,930.1000000000001,1078.686,0.0
2014-06-12,946.3,1148.415,0.0
2014-06-13,938.7000000000002,1193.509,0.0
2014-06-14,430.3,121.37,0.0
2014-06-15,402.2,142.10699999999997,0.0
2014-06-16,911.0000000000001,1014.492,0.0
2014-06-17,922.8,1052.3559999999995,0.0
2014-06-18,935.2999999999998,1027.6790000000005,0.0
2014-06-19,929.8000000000001,1066.8459999999995,0.0
2014-06-20,939.1000000000003,1023.956,0.0
2014-06-21,433.8000000000001,137.31500000000003,0.0
2014-06-22,422.79999999999984,136.927,0.0
2014-06-23,907.9999999999999,1151.5349999999996,0.0
2014-06-24,942.8000000000002,1085.1929999999998,0.0
2014-06-25,934.1000000000003,1023.1119999999999,0.0
2014-06-26,964.8000000000001,1028.492,0.0
2014-06-27,970.1999999999999,1037.898,0.0
2014-06-28,517.8,140.113,0.0
2014-06-29,411.40000000000003,140.31599999999997,0.0
2014-06-30,958.9,1026.785,0.0
2014-07-01,972.3999999999999,1049.0919999999999,0.0
2014-07-02,975.3,1083.486,0.0
2014-07-03,944.7,1141.31,0.0
2014-07-04,910.1000000000003,1142.347,0.0
2014-07-05,470.6000000000001,136.02899999999997,0.001
2014-07-06,418.09999999999997,149.663,0.0
2014-07-07,947.0999999999999,1071.113,0.0
2014-07-08,953.5,1043.257,0.0
2014-07-09,985.2,1079.772,0.0
2014-07-10,969.6000000000001,1026.0270000000003,0.0
2014-07-11,964.9999999999999,986.7970000000001,0.0
2014-07-12,459.70000000000016,131.45399999999998,0.0
2014-07-13,437.80000000000007,114.43899999999998,0.0
2014-07-14,912.1999999999999,820.4420000000001,0.0
2014-07-15,916.6000000000001,1016.8919999999999,0.0
2014-07-16,941.8999999999999,1256.9109999999998,0.0
2014-07-17,952.8999999999997,1327.3059999999998,0.0
2014-07-18,900.6999999999999,1507.204,0.0
2014-07-19,505.69999999999993,115.16799999999999,0.0
2014-07-20,471.90000000000003,112.74599999999998,0.0
2014-07-21,931.7,1256.1710000000005,0.0
2014-07-22,932.9000000000001,1258.126,0.0
2014-07-23,902.3999999999999,1289.8860000000002,0.0
2014-07-24,941.0999999999999,1272.156,0.0
2014-07-25,914.3,1186.9250000000002,0.001
2014-07-26,510.50000000000006,121.73799999999997,0.0
2014-07-27,465.5999999999999,108.796,0.0
2014-07-28,944.0,1142.228,0.0
2014-07-29,941.5,1201.274,0.0
2014-07-30,908.7000000000002,1165.6519999999998,0.0
2014-07-31,940.6,1157.965,0.005
2014-08-01,904.0,1161.1170000000002,0.0
2014-08-02,407.90000000000003,107.53899999999994,0.0
2014-08-03,389.4,114.701,0.0
2014-08-04,903.1999999999998,1145.0710000000001,0.0
2014-08-05,924.8999999999999,1158.363,0.0
2014-08-06,963.6000000000001,1158.688,0.001
2014-08-07,991.5,1160.7210000000002,0.024000000000000004
2014-08-08,948.0000000000001,1168.2289999999996,0.007
2014-08-09,461.4000000000001,120.00299999999997,0.001
2014-08-10,415.09999999999997,128.58599999999998,0.0
2014-08-11,912.2,1062.8609999999999,0.004
2014-08-12,896.1999999999999,1043.189,0.006
2014-08-13,896.0,1022.6560000000002,0.005
2014-08-14,925.8999999999997,999.85,0.008
2014-08-15,930.8,978.854,0.012
2014-08-16,411.9,141.75600000000003,0.003
2014-08-17,404.50000000000006,147.94,0.001
2014-08-18,931.5000000000001,995.836,0.011000000000000003
2014-08-19,911.3000000000001,923.5810000000001,0.005
2014-08-20,921.3000000000001,956.9879999999999,0.004
2014-08-21,904.1000000000001,867.843,0.013000000000000001
2014-08-22,891.3000000000003,911.5770000000001,0.003
2014-08-23,409.1000000000001,121.938,0.003
2014-08-24,389.6000000000001,127.92600000000003,0.0
2014-08-25,522.1,775.1539999999999,0.0
2014-08-26,913.1,813.7389999999998,0.008
2014-08-27,921.8000000000001,919.5080000000004,0.007
2014-08-28,933.6999999999998,996.0029999999999,0.005
2014-08-29,894.1000000000001,951.2869999999998,0.004
2014-08-30,443.00000000000006,123.26800000000001,0.004
2014-08-31,449.5000000000002,124.565,0.001
2014-09-01,924.8,976.324,0.005
2014-09-02,921.5999999999999,962.066,0.009000000000000001
2014-09-03,974.4,1000.2579999999999,0.007
2014-09-04,983.9999999999999,968.658,0.013000000000000005
2014-09-05,976.3000000000001,957.7130000000001,0.015000000000000003
2014-09-06,452.3,112.13300000000001,0.003
2014-09-07,406.7,124.973,0.001
2014-09-08,906.0,974.5080000000002,0.014000000000000002
